Source	Target	mapType	mapAutomatic	mapComment
2031	1001	MAP_FULLY	true	-
1001	2031	MAP_FULLY	true	-
2030	1001	MAP_FULLY	true	add type to identifier
1001	2030	MAP_FULLY	true	add type to identifier
2025	1002	MAP_FULLY	true	-
1002	2025	MAP_FULLY	true	-
2024	1002	MAP_FULLY	true	add type to identifier
1002	2024	MAP_FULLY	true	add type to identifier
2003	1004	MAP_FULLY	true	-
1004	2003	MAP_FULLY	true	-
2001	1004	MAP_FULLY	true	given that the title is the title of the workflow step, this can be inserted at the start of the description
1004	2001	MAP_FULLY	true	given that the title is the title of the workflow step, this can be inserted at the start of the description
2029	1007	MAP_FULLY	true	information that persons are involved has to be transferred to workflowStep mode
1007	2029	MAP_FULLY	true	information that persons are involved has to be transferred to workflowStep mode
2028	1007	MAP_FULLY	true	add identifier type to same string
1007	2028	MAP_FULLY	true	add identifier type to same string
2027	1007	MAP_FULLY	true	tool triggers workflowstep mode
1007	2027	MAP_FULLY	true	tool triggers workflowstep mode
2026	1007	MAP_FULLY	true	add type to identifier
1007	2026	MAP_FULLY	true	add type to identifier
2018	1008	MAP_NEARLY	false	not the same semantics, but role could be seen as parameter or version (if someone acts in different roles, or different roles over time)
1008	2018	MAP_NEARLY	false	not the same semantics, but role could be seen as parameter or version (if someone acts in different roles, or different roles over time)
2018	1009	MAP_NEARLY	false	not the same semantics, but role could be seen as parameter or version (if someone acts in different roles, or different roles over time)
1009	2018	MAP_NEARLY	false	not the same semantics, but role could be seen as parameter or version (if someone acts in different roles, or different roles over time)
2016	1009	MAP_FULLY	true	-
1009	2016	MAP_FULLY	true	-
2017	1011	MAP_PARTIALLY	false	split environment into components where possible
1011	2017	MAP_PARTIALLY	false	split environment into components where possible
2017	1012	MAP_PARTIALLY	false	split environment into components where possible
1012	2017	MAP_PARTIALLY	false	split environment into components where possible
2017	1013	MAP_PARTIALLY	false	split environment into components where possible
1013	2017	MAP_PARTIALLY	false	split environment into components where possible
1007	2027	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier, automatic mapping works only in case that step mode is clearly manual or clearly automatic
2027	1007	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier, automatic mapping works only in case that step mode is clearly manual or clearly automatic
1008	2027	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier, automatic mapping works only in case that step mode is clearly manual or clearly automatic
2027	1008	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier, automatic mapping works only in case that step mode is clearly manual or clearly automatic
1009	2016	MAP_PARTIALLY	false	full mapping of content in case of tool parameters, no mapping in case of person parameters
2016	1009	MAP_PARTIALLY	false	full mapping of content in case of tool parameters, no mapping in case of person parameters
1011	2017	MAP_PARTIALLY	false	based on component type
2017	1011	MAP_PARTIALLY	false	based on component type
1013	2017	MAP_PARTIALLY	false	based on component type
2017	1013	MAP_PARTIALLY	false	based on component type
1012	2017	MAP_PARTIALLY	false	based on component type
2017	1012	MAP_PARTIALLY	false	based on component type
1005	2023	MAP_FULLY	true	add property mode
2023	1005	MAP_FULLY	true	add property mode
1004	2003	MAP_FULLY	true	-
2003	1004	MAP_FULLY	true	-
1007	2029	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier, automatic mapping works only in case that step mode is clearly manual or clearly automatic
2029	1007	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier, automatic mapping works only in case that step mode is clearly manual or clearly automatic
1008	2029	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier, automatic mapping works only in case that step mode is clearly manual or clearly automatic
2029	1008	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier, automatic mapping works only in case that step mode is clearly manual or clearly automatic
1002	2005	MAP_NEARLY	true	GRAIN could in priniciple state two input elements of the same name, this would not be possible with RePlay-DH
2005	1002	MAP_NEARLY	true	GRAIN could in priniciple state two input elements of the same name, this would not be possible with RePlay-DH
1013	2010	MAP_FULLY	true	treat component as input
2010	1013	MAP_FULLY	true	treat component as input
1012	2025	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier
2025	1012	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier
1011	2025	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier
2025	1011	MAP_NEARLY	false	force identifier type to other, combine name and version to identifier
1001	2008	MAP_NEARLY	true	GRAIN could in priniciple state two result elements of the same name, this would not be possible with RePlay-DH
2008	1001	MAP_NEARLY	true	GRAIN could in priniciple state two result elements of the same name, this would not be possible with RePlay-DH
1013	3098	MAP_PARTIALLY	false	based on component type
3098	1013	MAP_PARTIALLY	false	based on component type
1012	3098	MAP_PARTIALLY	false	based on component type
3098	1012	MAP_PARTIALLY	false	based on component type
1011	3098	MAP_PARTIALLY	false	based on component type
3098	1011	MAP_PARTIALLY	false	based on component type
1009	3098	MAP_PARTIALLY	false	based on parameter type
